year,indonesia_gdp_pc_usd_const2015,indonesia_gdp_pc_rupiah_current,rupiah_per_const2015_usd
2015,3288.2,44027371.5,13389.5
2016,3416.8,46864866.1,13716.0
2017,3553.5,50832225.9,14304.8
2018,3701.3,54968159.0,14851.0
2019,3850.9,58103758.5,15088.4
2020,3739.4,56195479.6,15027.9
2021,3850.7,61341490.2,15930.0
2022,4024.9,70252206.5,17454.4
2023,4192.6,74299610.0,17721.6
2024,4367.9,78095002.9,17879.3
