province,year,gdp_pc_usd_const2015,manufacturing_pct_grdp
DKI JAKARTA,2014,13583.6,13.575
JAWA BARAT,2014,2338.1,43.639
JAWA TENGAH,2014,2137.0,35.668
DI YOGYAKARTA,2014,1982.3,13.587
JAWA TIMUR,2014,3093.3,28.953
BANTEN,2014,2844.6,34.698
BALI,2014,2958.8,6.384
NUSA TENGGARA BARAT,2014,1327.8,4.677
NUSA TENGGARA TIMUR,2014,1056.1,1.232
KALIMANTAN BARAT,2014,2179.3,16.483
KALIMANTAN TENGAH,2014,2861.1,15.917
KALIMANTAN SELATAN,2014,2531.7,12.952
KALIMANTAN TIMUR,2014,12223.5,19.323
KALIMANTAN UTARA,2014,7434.6,9.506
SULAWESI UTARA,2014,2624.9,9.818
SULAWESI TENGAH,2014,2475.3,5.869
SULAWESI SELATAN,2014,2744.8,13.976
SULAWESI TENGGARA,2014,2494.1,5.968
GORONTALO,2014,1753.7,4.174
SULAWESI BARAT,2014,1818.4,10.369
MALUKU,2014,1483.3,5.193
MALUKU UTARA,2014,1639.7,5.226
PAPUA BARAT,2014,5316.8,30.164
PAPUA,2014,3349.7,2.255
ACEH,2015,1927.5,5.979
SUMATERA UTARA,2015,3063.6,20.241
SUMATERA BARAT,2015,2586.4,10.181
RIAU,2015,7684.3,23.85
JAMBI,2015,3404.2,11.05
SUMATERA SELATAN,2015,3077.2,18.358
BENGKULU,2015,2005.0,6.177
LAMPUNG,2015,2326.7,19.053
KEP. BANGKA BELITUNG,2015,3317.9,21.133
KEP. RIAU,2015,7554.4,37.564
DKI JAKARTA,2015,14596.0,13.801
JAWA BARAT,2015,2438.3,43.071
JAWA TENGAH,2015,2235.6,35.079
DI YOGYAKARTA,2015,2059.2,13.115
JAWA TIMUR,2015,3251.9,29.309
BANTEN,2015,2994.2,33.518
BALI,2015,3172.7,6.532
NUSA TENGGARA BARAT,2015,1632.0,3.846
NUSA TENGGARA TIMUR,2015,1110.4,1.236
KALIMANTAN BARAT,2015,2286.8,15.783
KALIMANTAN TENGAH,2015,2995.3,16.121
KALIMANTAN SELATAN,2015,2565.6,13.571
KALIMANTAN TIMUR,2015,11009.1,20.589
KALIMANTAN UTARA,2015,7181.1,9.978
SULAWESI UTARA,2015,2822.1,9.463
SULAWESI TENGAH,2015,2792.9,9.72
SULAWESI SELATAN,2015,2983.7,13.881
SULAWESI TENGGARA,2015,2620.9,5.955
GORONTALO,2015,1877.9,4.181
SULAWESI BARAT,2015,1921.5,10.316
MALUKU,2015,1521.0,5.304
MALUKU UTARA,2015,1711.6,5.097
PAPUA BARAT,2015,5389.3,28.721
PAPUA,2015,3564.5,2.197
ACEH,2016,1957.7,5.376
SUMATERA UTARA,2016,3236.6,20.048
SUMATERA BARAT,2016,2718.3,10.093
RIAU,2016,7645.2,24.68
JAMBI,2016,3608.6,10.541
SUMATERA SELATAN,2016,3161.4,18.942
BENGKULU,2016,2119.9,6.204
LAMPUNG,2016,2482.8,18.696
KEP. BANGKA BELITUNG,2016,3383.1,20.099
KEP. RIAU,2016,7764.9,37.426
DKI JAKARTA,2016,15316.1,13.468
JAWA BARAT,2016,2544.0,42.554
JAWA TENGAH,2016,2330.3,34.694
DI YOGYAKARTA,2016,2154.6,13.229
JAWA TIMUR,2016,3462.5,28.907
BANTEN,2016,3094.2,32.573
BALI,2016,3369.1,6.394
NUSA TENGGARA BARAT,2016,1734.3,3.874
NUSA TENGGARA TIMUR,2016,1173.3,1.235
KALIMANTAN BARAT,2016,2419.9,16.106
KALIMANTAN TENGAH,2016,3201.0,16.466
KALIMANTAN SELATAN,2016,2626.4,14.192
KALIMANTAN TIMUR,2016,10596.6,20.628
KALIMANTAN UTARA,2016,7226.1,10.157
SULAWESI UTARA,2016,3007.2,8.998
SULAWESI TENGAH,2016,2995.2,11.875
SULAWESI SELATAN,2016,3194.6,14.059
SULAWESI TENGGARA,2016,2772.1,6.108
GORONTALO,2016,2008.2,4.208
SULAWESI BARAT,2016,2005.9,9.532
MALUKU,2016,1574.7,5.395
MALUKU UTARA,2016,1792.1,5.387
PAPUA BARAT,2016,5437.8,26.403
PAPUA,2016,3937.2,2.09
ACEH,2017,1964.2,5.146
SUMATERA UTARA,2017,3355.8,20.276
SUMATERA BARAT,2017,2809.9,9.738
RIAU,2017,7399.3,25.353
JAMBI,2017,3774.5,10.308
SUMATERA SELATAN,2017,3237.7,19.562
BENGKULU,2017,2192.2,6.16
LAMPUNG,2017,2586.4,19.022
KEP. BANGKA BELITUNG,2017,3413.4,20.367
KEP. RIAU,2017,7643.1,37.067
DKI JAKARTA,2017,15938.9,13.423
JAWA BARAT,2017,2602.1,42.234
JAWA TENGAH,2017,2393.2,34.583
DI YOGYAKARTA,2017,2213.6,13.125
JAWA TIMUR,2017,3581.2,29.124
BANTEN,2017,3165.1,31.925
BALI,2017,3507.0,6.056
NUSA TENGGARA BARAT,2017,1746.7,3.972
NUSA TENGGARA TIMUR,2017,1200.0,1.264
KALIMANTAN BARAT,2017,2515.6,16.149
KALIMANTAN TENGAH,2017,3376.0,16.78
KALIMANTAN SELATAN,2017,2699.8,14.425
KALIMANTAN TIMUR,2017,11572.8,18.935
KALIMANTAN UTARA,2017,7781.9,9.978
SULAWESI UTARA,2017,3127.9,9.363
SULAWESI TENGAH,2017,3156.8,12.349
SULAWESI SELATAN,2017,3343.1,13.824
SULAWESI TENGGARA,2017,2885.7,6.136
GORONTALO,2017,2066.8,4.091
SULAWESI BARAT,2017,2074.5,9.957
MALUKU,2017,1598.0,5.329
MALUKU UTARA,2017,1865.5,6.433
PAPUA BARAT,2017,5482.3,25.947
PAPUA,2017,4045.1,2.102
ACEH,2018,1987.8,5.206
SUMATERA UTARA,2018,3462.9,20.022
SUMATERA BARAT,2018,2882.1,9.099
RIAU,2018,7432.8,24.614
JAMBI,2018,3920.6,9.943
SUMATERA SELATAN,2018,3373.8,19.51
BENGKULU,2018,2277.4,6.07
LAMPUNG,2018,2674.3,19.501
KEP. BANGKA BELITUNG,2018,3372.3,20.602
KEP. RIAU,2018,7842.0,36.891
DKI JAKARTA,2018,16677.6,13.179
JAWA BARAT,2018,2711.8,42.195
JAWA TENGAH,2018,2476.0,34.411
DI YOGYAKARTA,2018,2298.6,12.995
JAWA TIMUR,2018,3731.1,29.749
BANTEN,2018,3257.0,31.258
BALI,2018,3665.3,6.009
NUSA TENGGARA BARAT,2018,1663.6,4.134
NUSA TENGGARA TIMUR,2018,1240.2,1.266
KALIMANTAN BARAT,2018,2613.6,16.117
KALIMANTAN TENGAH,2018,3508.7,15.702
KALIMANTAN SELATAN,2018,2763.9,14.026
KALIMANTAN TIMUR,2018,11727.5,18.139
KALIMANTAN UTARA,2018,8040.8,9.44
SULAWESI UTARA,2018,3239.2,9.153
SULAWESI TENGAH,2018,3738.4,20.893
SULAWESI SELATAN,2018,3544.7,12.873
SULAWESI TENGGARA,2018,2995.9,6.165
GORONTALO,2018,2143.1,4.109
SULAWESI BARAT,2018,2158.7,9.71
MALUKU,2018,1634.1,5.348
MALUKU UTARA,2018,1992.2,7.413
PAPUA BARAT,2018,5720.7,26.818
PAPUA,2018,4268.1,2.029
ACEH,2019,2046.6,4.737
SUMATERA UTARA,2019,3620.0,19.04
SUMATERA BARAT,2019,2974.8,8.383
RIAU,2019,7371.7,25.551
JAMBI,2019,4031.5,9.81
SUMATERA SELATAN,2019,3536.4,19.372
BENGKULU,2019,2423.4,5.96
LAMPUNG,2019,2795.0,19.998
KEP. BANGKA BELITUNG,2019,3461.8,19.589
KEP. RIAU,2019,7913.0,37.628
DKI JAKARTA,2019,17765.5,12.323
JAWA BARAT,2019,2870.4,41.603
JAWA TENGAH,2019,2610.5,34.415
DI YOGYAKARTA,2019,2416.4,12.822
JAWA TIMUR,2019,3911.3,30.315
BANTEN,2019,3447.3,30.734
BALI,2019,3827.9,6.041
NUSA TENGGARA BARAT,2019,1704.4,4.125
NUSA TENGGARA TIMUR,2019,1301.0,1.315
KALIMANTAN BARAT,2019,2786.6,16.359
KALIMANTAN TENGAH,2019,3752.9,15.042
KALIMANTAN SELATAN,2019,2838.2,13.667
KALIMANTAN TIMUR,2019,11946.9,17.867
KALIMANTAN UTARA,2019,9195.9,9.199
SULAWESI UTARA,2019,3457.8,8.71
SULAWESI TENGAH,2019,4046.6,22.42
SULAWESI SELATAN,2019,3789.8,13.172
SULAWESI TENGGARA,2019,3215.3,6.402
GORONTALO,2019,2318.1,4.266
SULAWESI BARAT,2019,2260.8,9.728
MALUKU,2019,1729.6,5.185
MALUKU UTARA,2019,2129.1,7.077
PAPUA BARAT,2019,5802.0,25.738
PAPUA,2019,3752.5,2.272
ACEH,2020,2105.0,4.564
SUMATERA UTARA,2020,3658.5,19.293
SUMATERA BARAT,2020,2916.3,8.643
RIAU,2020,7597.1,28.491
JAMBI,2020,3856.7,10.73
SUMATERA SELATAN,2020,3582.9,19.733
BENGKULU,2020,2432.3,5.983
LAMPUNG,2020,2614.5,19.46
KEP. BANGKA BELITUNG,2020,3461.8,18.758
KEP. RIAU,2020,8215.8,41.634
DKI JAKARTA,2020,17475.4,11.381
JAWA BARAT,2020,2877.1,41.117
JAWA TENGAH,2020,2459.8,34.443
DI YOGYAKARTA,2020,2508.3,12.774
JAWA TIMUR,2020,3769.1,30.666
BANTEN,2020,3508.8,31.208
BALI,2020,3461.3,6.438
NUSA TENGGARA BARAT,2020,1675.8,4.037
NUSA TENGGARA TIMUR,2020,1334.7,1.284
KALIMANTAN BARAT,2020,2636.6,16.245
KALIMANTAN TENGAH,2020,3802.6,16.009
KALIMANTAN SELATAN,2020,2934.6,13.517
KALIMANTAN TIMUR,2020,10766.7,19.015
KALIMANTAN UTARA,2020,9551.2,9.171
SULAWESI UTARA,2020,3361.9,9.547
SULAWESI TENGAH,2020,4412.3,27.612
SULAWESI SELATAN,2020,3704.8,12.76
SULAWESI TENGGARA,2020,3308.4,7.248
GORONTALO,2020,2375.2,4.313
SULAWESI BARAT,2020,2185.1,10.084
MALUKU,2020,1669.9,5.109
MALUKU UTARA,2020,2200.6,11.451
PAPUA BARAT,2020,4919.7,25.685
PAPUA,2020,3088.7,2.079
ACEH,2021,2176.6,5.035
SUMATERA UTARA,2021,3605.9,19.53
SUMATERA BARAT,2021,2838.6,8.794
RIAU,2021,8144.4,28.055
JAMBI,2021,4066.0,10.248
SUMATERA SELATAN,2021,3624.9,19.085
BENGKULU,2021,2458.7,5.814
LAMPUNG,2021,2561.6,19.722
KEP. BANGKA BELITUNG,2021,3666.4,20.861
KEP. RIAU,2021,8279.0,42.033
DKI JAKARTA,2021,17241.7,12.277
JAWA BARAT,2021,2839.6,41.801
JAWA TENGAH,2021,2421.1,34.299
DI YOGYAKARTA,2021,2543.4,12.347
JAWA TIMUR,2021,3765.8,30.71
BANTEN,2021,3476.7,31.51
BALI,2021,3186.3,6.679
NUSA TENGGARA BARAT,2021,1632.7,3.999
NUSA TENGGARA TIMUR,2021,1290.3,1.184
KALIMANTAN BARAT,2021,2652.4,16.444
KALIMANTAN TENGAH,2021,3944.4,16.771
KALIMANTAN SELATAN,2021,3017.3,13.549
KALIMANTAN TIMUR,2021,11497.6,17.774
KALIMANTAN UTARA,2021,9861.4,8.903
SULAWESI UTARA,2021,3392.0,10.375
SULAWESI TENGAH,2021,5148.6,33.786
SULAWESI SELATAN,2021,3735.3,12.497
SULAWESI TENGGARA,2021,3291.7,7.629
GORONTALO,2021,2328.1,4.411
SULAWESI BARAT,2021,2209.4,10.669
MALUKU,2021,1641.7,5.439
MALUKU UTARA,2021,2534.9,20.46
PAPUA BARAT,2021,4646.7,25.307
PAPUA,2021,3393.0,1.801
ACEH,2022,2221.1,5.186
SUMATERA UTARA,2022,3605.0,19.131
SUMATERA BARAT,2022,2879.7,8.537
RIAU,2022,8666.0,27.259
JAMBI,2022,4367.1,9.765
SUMATERA SELATAN,2022,3909.6,17.509
BENGKULU,2022,2506.9,5.485
LAMPUNG,2022,2577.1,18.555
KEP. BANGKA BELITUNG,2022,3659.0,21.825
KEP. RIAU,2022,8337.8,40.808
DKI JAKARTA,2022,17169.1,12.27
JAWA BARAT,2022,2815.2,42.241
JAWA TENGAH,2022,2402.5,33.941
DI YOGYAKARTA,2022,2557.5,11.933
JAWA TIMUR,2022,3795.5,30.585
BANTEN,2022,3518.5,30.473
BALI,2022,3213.7,6.579
NUSA TENGGARA BARAT,2022,1642.6,3.764
NUSA TENGGARA TIMUR,2022,1240.8,1.207
KALIMANTAN BARAT,2022,2640.7,16.46
