iso3,country,region,year,gdp_pc_usd_const2015,agriculture_pct_gdp
TON,Tonga,East Asia & Pacific,2024,4779.9,18.567
TTO,Trinidad and Tobago,Latin America & Caribbean ,2024,16312.5,0.778
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",2024,4006.2,9.739
TUR,Turkiye,Europe & Central Asia,2024,15395.0,5.82
TUV,Tuvalu,East Asia & Pacific,2024,4382.9,15.941
TZA,Tanzania,Sub-Saharan Africa ,2024,1120.8,23.318
UGA,Uganda,Sub-Saharan Africa ,2024,986.1,24.619
UKR,Ukraine,Europe & Central Asia,2024,2226.1,7.295
URY,Uruguay,Latin America & Caribbean ,2024,19024.1,6.38
USA,United States,North America,2024,66856.5,0.943
UZB,Uzbekistan,Europe & Central Asia,2024,4477.9,17.73
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,2024,9485.2,3.546
VNM,Viet Nam,East Asia & Pacific,2024,4012.5,12.029
VUT,Vanuatu,East Asia & Pacific,2024,3223.9,26.627
WSM,Samoa,East Asia & Pacific,2024,4880.5,9.795
XKX,Kosovo,Europe & Central Asia,2024,5631.7,7.335
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",2018,1079.3,28.745
ZAF,South Africa,Sub-Saharan Africa ,2024,5715.5,2.811
ZMB,Zambia,Sub-Saharan Africa ,2024,1343.4,2.834
ZWE,Zimbabwe,Sub-Saharan Africa ,2024,1416.8,8.692
